cluster_id,image_path,order_index,mosaic_path
0,../dataset/cropped/cropped_train/anemo_0_07.24_10.56.33_33_4_1.jpg,0,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.20_14.08.33._21_3_1.jpg,1,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_08.19_14.26.34_33_8_1.jpg,2,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.20_12.38.34._4_4_1.jpg,3,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.28_11.56.33_10_1_1.jpg,4,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.26_10.56.33_8_2_1.jpg,5,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_08.22_04.56.54_10_8_1.jpg,6,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_08.28_05.26.54_11_7_1.jpg,7,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.29_20.56.33_20_3_4.jpg,8,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.27_15.26.33_25_4_1.jpg,9,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.26_13.08.33._19_2_3.jpg,10,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.20_15.26.33_16_3_1.jpg,11,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_08.21_16.26.33_15_3_3.jpg,12,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.26_15.56.33_5_2_1.jpg,13,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.21_20.26.33_34_5_2.jpg,14,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/selected_frame_415774_5_5.jpg,15,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.24_11.26.33_42_7_1.jpg,16,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
0,../dataset/cropped/cropped_train/anemo_0_07.24_11.08.33._15_4_4.jpg,17,../mosaic_results/k_means_dino_rgb_cluster_0_mosaic.jpg
